CustomerID,Name,Age,City,Email
1,Rahul,19,Delhi,customer1@example.com
2,Sneha,33,Bangalore,customer2@example.com
3,Kavya,24,Delhi,customer3@example.com
4,Rohit,23,Pune,customer4@example.com
5,Likitha,20,Hyderabad,customer5@example.com
6,Rahul,31,Bangalore,customer6@example.com
7,Rohit,56,Hyderabad,customer7@example.com
8,Rohit,30,Delhi,customer8@example.com
9,Rohit,44,Bangalore,customer9@example.com
10,Priya,55,Chennai,customer10@example.com
11,Praneetha,28,,customer11@example.com
12,Likitha,39,Chennai,customer12@example.com
13,Kavya,31,Vijayawada,customer13@example.com
14,Hemanth,24,Hyderabad,customer14@example.com
15,Likitha,24,Chennai,customer15@example.com
16,Hemanth,56,Chennai,customer16@example.com
17,Praneetha,47,Pune,customer17@example.com
18,Rahul,42,Hyderabad,customer18@example.com
19,Rohit,36,Vijayawada,customer19@example.com
20,Ananya,41,Pune,customer20@example.com
21,Arjun,22,Hyderabad,customer21@example.com
22,Arjun,36,Hyderabad,customer22@example.com
23,Arjun,24,Mumbai,customer23@example.com
24,Sneha,47,Delhi,customer24@example.com
25,Hemanth,28,Chennai,customer25@example.com
26,,31,Delhi,customer26@example.com
27,Sneha,59,Hyderabad,customer27@example.com
28,Ananya,58,Bangalore,customer28@example.com
29,Rohit,33,Bangalore,customer29@example.com
30,Priya,42,Chennai,customer30@example.com
31,Rohit,32,Delhi,customer31@example.com
32,Hemanth,21,Bangalore,customer32@example.com
33,Praneetha,38,Mumbai,customer33@example.com
34,Sneha,22,Bangalore,customer34@example.com
35,Ananya,38,Bangalore,customer35@example.com
36,Priya,43,Delhi,customer36@example.com
37,Priya,27,Chennai,customer37@example.com
38,Kavya,33,Delhi,customer38@example.com
39,Rohit,52,Chennai,customer39@example.com
40,Ananya,45,Pune,customer40@example.com
41,  Praneetha  ,41,Bangalore,customer41@example.com
42,Kavya,50,Mumbai,customer42@example.com
43,Rahul,21,Vijayawada,customer43@example.com
44,Rahul,27,Delhi,customer44@example.com
45,Kavya,45,Pune,customer45@example.com
46,Rahul,42,Mumbai,customer46@example.com
47,Ananya,47,Pune,customer47@example.com
48,Sneha,53,Vijayawada,customer48@example.com
49,Praneetha,25,Delhi,customer49@example.com
50,Rohit,35,Vijayawada,customer50@example.com
51,Hemanth,25,Chennai,customer51@example.com
52,Likitha,28,Mumbai,customer52@example.com
53,Praneetha,34,Pune,customer53@example.com
54,Kavya,50,Hyderabad,customer54@example.com
55,Sneha,58,Pune,customer55@example.com
56,Ananya,30,Bangalore,customer56@example.com
57,Hemanth,28,Pune,customer57@example.com
58,Rohit,18,Pune,customer58@example.com
59,Hemanth,49,Hyderabad,customer59@example.com
60,Rahul,41,Vijayawada,customer60@example.com
61,Sneha,33,Hyderabad,customer61@example.com
62,Arjun,54,Hyderabad,customer62@example.com
63,Rahul,49,Vijayawada,customer63@example.com
64,Rahul,52,Vijayawada,customer64@example.com
65,Kavya,26,Delhi,customer65@example.com
66,Priya,53,Bangalore,customer66@example.com
67,Sneha,51,Vijayawada,customer67@example.com
68,Ananya,45,Bangalore,customer68@example.com
69,Rohit,30,Delhi,customer69@example.com
70,Sneha,43,Delhi,customer70@example.com
71,Hemanth,46,Pune,customer71@example.com
72,Priya,25,Bangalore,customer72@example.com
73,Arjun,22,Chennai,customer73@example.com
74,Praneetha,55,Pune,customer74@example.com
75,Arjun,55,Bangalore,customer75@example.com
76,Praneetha,22,Delhi,customer76@example.com
77,Praneetha,32,Hyderabad,customer77@example.com
78,Praneetha,39,Hyderabad,customer78@example.com
79,Rohit,33,Chennai,customer79@example.com
80,Priya,31,Pune,customer80@example.com
81,Kavya,54,Pune,customer81@example.com
82,Priya,33,Vijayawada,customer82@example.com
83,Priya,44,Bangalore,customer83@example.com
84,Rahul,24,Delhi,customer84@example.com
85,Likitha,40,Mumbai,customer85@example.com
86,Likitha,47,Vijayawada,customer86@example.com
87,Praneetha,59,Delhi,customer87@example.com
88,Rahul,21,Mumbai,customer88@example.com
89,Hemanth,24,Bangalore,customer89@example.com
90,Arjun,30,Pune,customer90@example.com
91,Priya,26,Mumbai,customer91@example.com
92,Kavya,35,Mumbai,customer92@example.com
93,Arjun,22,Mumbai,customer93@example.com
94,Rohit,24,Hyderabad,customer94@example.com
95,Rohit,18,Hyderabad,customer95@example.com
96,Arjun,28,Mumbai,customer96@example.com
97,Priya,48,Bangalore,customer97@example.com
98,Likitha,21,Bangalore,customer98@example.com
99,Likitha,18,Mumbai,customer99@example.com
100,Sneha,47,Chennai,customer100@example.com
101,Likitha,53,Delhi,customer101@example.com
102,Priya,27,Bangalore,customer102@example.com
